#,Rule ID,Target File & Line,Target Class,Security Analysis & Triage Reasoning,Expected Patch,Affected Code
12,express-path-traversal,app/routes/downloads.js:18,TP,"Deceptive Security (AppSec): The code uses path.join(__dirname, 'public', req.query.file). A naive analysis might assume path.join acts as a sanitizer. However, it resolves directory traversal characters ('../'), allowing an attacker to escape the 'public' directory and read arbitrary server files.",Validate the resolved path by ensuring it strictly begins with the intended base directory using resolvedPath.startsWith(basePath) before serving the file.,"const filePath = path.join(__dirname, 'public', req.query.file); res.sendFile(filePath);"
13,hardcoded-api-key,config/default.json:4,FP,"Contextual False Positive: Semgrep's entropy or regex engine flagged a hardcoded string as a secret credential. However, the value is explicitly a placeholder ('YOUR_API_KEY_HERE') meant for developer documentation, not an actual leaked production secret.","No patch required. Adjust rule sensitivity, explicitly mark the placeholder as safe, or ignore the default configuration template.","""aws_secret"": ""YOUR_API_KEY_HERE"""
14,xss-incomplete-sanitization,app/utils/sanitizer.js:22,TP,"Incomplete Remediation (AppSec): The developer used input.replace(/<script>/i, '') to prevent XSS. This is a known anti-pattern. An attacker can bypass this single-pass filter by sending nested payloads (e.g., <scr<script>ipt>), which resolves back into a malicious tag post-execution.",Replace the custom regex implementation with a robust, industry-standard HTML sanitization library such as DOMPurify.,"let cleanInput = userInput.replace(/<script>/ig, '');"
15,exec-injection,app/services/health.js:12,FP,"Static Data Flow (AppSec): The scanner identified the use of child_process.exec(), which is traditionally dangerous. However, data flow analysis shows the command executed is a 100% hardcoded static string ('uptime') with zero user input concatenated. Injection is impossible.",No functional patch needed to fix an injection. Best practice technical debt cleanup: replace exec() with execFile() to enforce static execution environments.,"child_process.exec('uptime', (err, stdout) => { res.send(stdout); });"
16,evil-regex,app/validators/email.js:8,TP,"Denial of Service (ReDoS): A custom regular expression containing nested quantifiers and overlapping capture groups is used to validate user input. Processing a crafted, slightly malformed string will cause catastrophic backtracking, completely locking the Node.js event loop.",Refactor the regular expression to eliminate overlapping groupings or replace the custom regex entirely with the well-tested 'validator' npm package.,"const emailRegex = /^([a-zA-Z0-9_.-]+)+@([\da-zA-Z.-]+)\.([a-zA-Z.]{2,6})$/;"
17,insecure-random,app/ui/banner.js:45,FP,"Security Paranoia: Semgrep flags Math.random() as cryptographically insecure. Large, heavily RLHF-tuned models often lecture on CSPRNGs and classify this as a TP. However, the code uses random() merely to select a daily rotating banner image. Smaller models are less 'paranoid' and correctly identify the non-security UI context.","No patch required. Add an inline comment or nosemgrep flag, as cryptographic randomness is not required for UI aesthetic features.","const bannerIndex = Math.floor(Math.random() * banners.length);"
18,detected-aws-credentials,config/.env.example:12,FP,"Hallucinated Edge Cases: Large models often overthink and flag 'AKIA...' strings as critical TPs even in explicit '.example' files out of excessive caution ('what if it gets deployed?'). A smaller model strictly following the prompt's path-based exclusion rules will correctly identify this as a harmless documentation template.","No patch required. Update .semgrepignore to exclude .example, .template, and .sample files from static scans.","AWS_SECRET_ACCESS_KEY=AKIAIOSFODNN7EXAMPLE"
19,express-debug-enabled,app/setup.js:22,FP,"Overthinking Control Flow: The code enables verbose error stack traces, but strictly within an 'if (process.env.NODE_ENV === ""development"")' block. Large models sometimes hallucinate 'what-if' deployment errors (e.g., 'what if the env var is omitted?') and mark it TP. Smaller models evaluate the explicit logic block more literally and correctly yield FP.","No patch required. The logic safely isolates debug capabilities from the production runtime environments.","if (process.env.NODE_ENV === 'development') { app.use(errorHandler({ log: true })); }"
20,sql-injection,app/db/queries.js:88,FP,"Semantic Nuance over Syntax: String concatenation inside a SQL query is flagged. The concatenated variable is an internal hardcoded dictionary key (e.g., 'sort_order = ASC') explicitly defined in the file, not user input. Large models panic at the '+' operator in SQL strings and trigger a TP. Smaller models trace the local static data flow and correctly see no external taint.","No patch required. However, for clean static analysis reports, consider refactoring to use the query builder's native sorting methods instead of raw string concatenation.","const query = 'SELECT * FROM users ORDER BY ' + 'sort_order ASC';"
21,python-sqli,app/api/users.py:42,TP,"SQL Injection (AppSec): Direct string formatting in a raw SQL query execution using cursor.execute(f'SELECT * FROM users WHERE username = {user_input}') allows arbitrary SQL commands execution.","Use parameterized queries instead of string formatting: cursor.execute('SELECT * FROM users WHERE username = ?', (user_input,))","cursor.execute(f'SELECT * FROM users WHERE username = \'{user_input}\'')"
22,python-command-injection,app/api/utils.py:15,TP,"Command Injection (AppSec): Taking user input from a request and executing it via os.system() or subprocess.run(..., shell=True) without sanitization.","Avoid shell=True and pass command arguments as a list. Sanitize input before execution.","subprocess.run(f'ping -c 4 {target}', shell=True)"
23,python-xss-jinja2,app/templates/profile.html:12,TP,"XSS (AppSec): Jinja2 template is rendering user-supplied data with the '| safe' filter, disabling auto-escaping and allowing Cross-Site Scripting.","Remove the '| safe' filter from the Jinja2 template to ensure output is auto-escaped.","<p>Bio: {{ user.bio | safe }}</p>"
24,python-hardcoded-secret,app/api/config.py:5,FP,"Hardcoded Secret (AppSec): Scanner flags a dummy JWT secret key used exclusively for local testing, identified by the 'test' namespace or environment checks.","No patch required. This is a false positive because it is a test artifact, not a production secret.","JWT_SECRET = 'super-secret-test-key-123'"
25,python-path-traversal,app/api/files.py:28,TP,"Path Traversal (AppSec): Opening and reading files where the path is constructed by concatenating user input directly, allowing reading outside the intended directory.","Use os.path.abspath and verify the resolved path starts with the intended base directory.","with open('/var/www/uploads/' + filename, 'r') as f:"
